H S Q
1.99	-0.08	12.45
2.00	-0.08	13.04
2.01	-0.08	13.64	
2.02	-0.08	14.26	
2.03	-0.08	14.90	
2.04	-0.08	15.56	
2.05	-0.08	16.24	
2.06	-0.08	16.94	
2.07	-0.08	17.66	
2.08	-0.08	18.40	
2.09	-0.08	19.16	
2.10	-0.08	19.95	
2.11	-0.08	20.76	
2.12	-0.08	21.58	
2.13	-0.08	22.44	
2.14	-0.08	23.31	
2.15	-0.08	24.21	
2.16	-0.08	25.13	
2.17	-0.08	26.08	
2.18	-0.08	27.05	
2.19	-0.08	28.05	
2.20	-0.08	29.07	
2.21	-0.08	30.12	
2.22	-0.08	31.19	
2.23	-0.08	32.29	
2.24	-0.08	33.42	
2.25	-0.08	34.57	
2.26	-0.08	35.76	
2.27	-0.09	36.97	
2.28	-0.09	38.20	
2.29	-0.09	39.47	
2.30	-0.09	40.76	
2.31	-0.09	42.09	
2.32	-0.09	43.44	
2.33	-0.09	44.83	
2.34	-0.09	46.24	
2.35	-0.09	47.69	
2.36	-0.09	49.16	
2.37	-0.09	50.67	
2.38	-0.09	52.21	
2.39	-0.09	53.78	
2.40	-0.09	55.39	
2.41	-0.09	57.02	
2.42	-0.09	58.69	
2.43	-0.09	60.40	
2.44	-0.09	62.14	
2.45	-0.09	63.91	
2.46	-0.09	65.72	
2.47	-0.09	67.57	
2.48	-0.09	69.44	
2.49	-0.09	71.36	
2.50	-0.09	73.31	
2.51	-0.09	75.30	
2.52	-0.09	77.33	
2.53	-0.09	79.39	
2.54	-0.09	81.50	
2.55	-0.09	83.64	
2.56	-0.09	85.82	
2.57	-0.09	88.04	
2.58	-0.09	90.29	
2.59	-0.09	92.59	
2.60	-0.09	94.93	
2.61	-0.09	97.31	
2.62	-0.09	99.73	
2.63	-0.09	102.20	
2.64	-0.09	104.70	
2.65	-0.09	107.25	
2.66	-0.09	109.84	
2.67	-0.09	112.47	
2.68	-0.09	115.15	
2.69	-0.09	117.87	
2.70	-0.09	120.64	
2.71	-0.09	123.45	
2.72	-0.09	126.30	
2.73	-0.09	129.20	
2.74	-0.09	132.15	
2.75	-0.09	135.14	
2.76	-0.09	138.19	
2.77	-0.09	141.27	
2.78	-0.09	144.41	
2.79	-0.09	147.59	
2.80	-0.09	150.83	
2.81	-0.09	154.11	
2.82	-0.09	157.44	
2.83	-0.09	160.82	
2.84	-0.09	164.25	
2.85	-0.09	167.74	
2.86	-0.09	171.27	
2.87	-0.09	174.85	
2.88	-0.09	178.49	
2.89	-0.09	182.18	
2.90	-0.09	185.92	
2.91	-0.09	189.71	
2.92	-0.09	193.56	
2.93	-0.09	197.47	
2.94	-0.09	201.42	
2.95	-0.09	205.43	
2.96	-0.09	209.50	
2.97	-0.09	213.62	
2.98	-0.09	217.80	
2.99	-0.09	222.04	
3.00	-0.09	226.33	
3.01	-0.09	230.68	
3.02	-0.09	235.09	
3.03	-0.09	239.56	
3.04	-0.09	244.08	
3.05	-0.09	248.67	
3.06	-0.09	253.31	
3.07	-0.09	258.02	
3.08	-0.09	262.78	
3.09	-0.09	267.61	
3.10	-0.09	272.49	
3.11	-0.09	277.44	
3.12	-0.09	282.45	
3.13	-0.09	287.53	
3.14	-0.09	292.66	
3.15	-0.09	297.86	
3.16	-0.09	303.13	
3.17	-0.09	308.46	
3.18	-0.10	313.85	
3.19	-0.10	319.31	
3.20	-0.10	324.84	
3.21	-0.10	330.43	
3.22	-0.10	336.08	
3.23	-0.10	341.81	
3.24	-0.10	347.60	
3.25	-0.10	353.46	
3.26	-0.10	359.39	
3.27	-0.10	365.39	
3.28	-0.10	371.46	
3.29	-0.10	377.59	
3.30	-0.10	383.80	*
3.31	-0.10	390.08	
3.32	-0.10	396.43	
3.33	-0.10	402.85	
3.34	-0.10	409.34	
3.35	-0.10	415.91	
3.36	-0.10	422.55	
3.37	-0.10	429.26	
3.38	-0.10	436.05	
3.39	-0.10	442.91	
3.40	-0.10	449.97	*
3.41	-0.10	457.38	
3.42	-0.10	464.77	
3.43	-0.10	472.14	
3.44	-0.10	479.48	
3.45	-0.10	486.81	
3.46	-0.10	494.11	
3.47	-0.10	501.39	
3.48	-0.10	508.65	
3.49	-0.10	515.89	
3.50	-0.10	523.26	*
3.51	-0.10	531.40	
3.52	-0.10	539.53	
3.53	-0.10	547.66	
3.54	-0.10	555.78	
3.55	-0.10	563.89	
3.56	-0.10	572.00	
3.57	-0.10	580.10	
3.58	-0.10	588.19	
3.59	-0.10	596.28	
3.60	-0.10	604.37	*
3.61	-0.10	612.60	
3.62	-0.10	620.82	
3.63	-0.10	629.04	
3.64	-0.10	637.26	
3.65	-0.10	645.47	
3.66	-0.10	653.68	
3.67	-0.10	661.88	
3.68	-0.10	670.08	
3.69	-0.10	678.28	
3.70	-0.10	686.47	*
3.71	-0.10	694.69	
3.72	-0.10	702.91	
3.73	-0.10	711.13	
3.74	-0.10	719.34	
3.75	-0.10	727.55	
3.76	-0.10	735.76	
3.77	-0.10	743.97	
3.78	-0.10	752.17	
3.79	-0.10	760.37	
3.80	-0.10	768.57	
3.81	-0.10	776.81	
3.82	-0.10	785.06	
3.83	-0.10	793.30	
3.84	-0.10	801.55	
3.85	-0.10	809.79	
3.86	-0.10	818.03	
3.87	-0.10	826.27	
3.88	-0.10	834.50	
3.89	-0.10	842.74	
3.90	-0.10	850.97	
3.91	-0.10	859.20	
3.92	-0.10	867.42	
3.93	-0.10	875.65	
3.94	-0.10	883.87	
3.95	-0.10	892.09	
3.96	-0.10	900.31	
3.97	-0.10	908.53	
3.98	-0.10	916.75	
3.99	-0.10	924.96	
4.00	-0.10	933.17	
4.01	-0.10	941.38	
4.02	-0.10	949.59	
4.03	-0.10	957.80	
4.04	-0.10	966.00	
4.05	-0.10	974.20	
4.06	-0.10	982.41	
4.07	-0.10	990.60	
4.08	-0.10	998.80	
4.09	-0.10	1007.00	
4.10	-0.10	1015.19	
4.11	-0.11	1023.38	
4.12	-0.11	1031.58	
4.13	-0.11	1039.76	
4.14	-0.11	1047.95	
4.15	-0.11	1056.14	
4.16	-0.11	1064.32	
4.17	-0.11	1072.50	
4.18	-0.11	1080.69	
4.19	-0.11	1088.87	
4.20	-0.11	1097.04	
4.21	-0.11	1105.22	
4.22	-0.11	1113.39	
4.23	-0.11	1121.57	
4.24	-0.11	1129.74	
4.25	-0.11	1137.91	
4.26	-0.11	1146.08	
4.27	-0.11	1154.24	
4.28	-0.11	1162.41	
4.29	-0.11	1170.57	
4.30	-0.11	1178.74	
4.31	-0.11	1186.90	
4.32	-0.11	1195.06	
4.33	-0.11	1203.22	
4.34	-0.11	1211.37	
4.35	-0.11	1219.53	
4.36	-0.11	1227.68	
4.37	-0.11	1235.84	
4.38	-0.11	1243.99	
4.39	-0.11	1252.14	
4.40	-0.11	1260.29	
4.41	-0.11	1268.43	
4.42	-0.11	1276.58	
4.43	-0.11	1284.73	
4.44	-0.11	1292.87	
4.45	-0.11	1301.01	
4.46	-0.11	1309.15	
4.47	-0.11	1317.29	
4.48	-0.11	1325.43	
4.49	-0.11	1333.57	
4.50	-0.11	1341.70	
4.51	-0.11	1349.84	
4.52	-0.11	1357.97	
4.53	-0.11	1366.10	
4.54	-0.11	1374.23	
4.55	-0.11	1382.36	
4.56	-0.11	1390.49	
4.57	-0.11	1398.62	
4.58	-0.11	1406.74	
4.59	-0.11	1414.87	
4.60	-0.11	1422.99	
4.61	-0.11	1431.11	
4.62	-0.11	1439.23	
4.63	-0.11	1447.35	
4.64	-0.11	1455.47	
4.65	-0.11	1463.59	
4.66	-0.11	1471.71	
4.67	-0.11	1479.82	
4.68	-0.11	1487.94	
4.69	-0.11	1496.05	
4.70	-0.11	1504.16	
4.71	-0.11	1512.27	
4.72	-0.11	1520.38	
4.73	-0.11	1528.49	
4.74	-0.11	1536.60	
4.75	-0.11	1544.70	
4.76	-0.11	1552.81	
4.77	-0.11	1560.91	
4.78	-0.11	1569.02	
4.79	-0.11	1577.12	
4.80	-0.11	1585.22	
4.81	-0.11	1593.32	
4.82	-0.11	1601.42	
4.83	-0.11	1609.51	
4.84	-0.11	1617.61	
4.85	-0.11	1625.71	
4.86	-0.11	1633.80	
4.87	-0.11	1641.90	
4.88	-0.11	1649.99	
4.89	-0.11	1658.08	
4.90	-0.11	1666.17	
4.91	-0.11	1674.26	
4.92	-0.11	1682.35	
4.93	-0.11	1690.44	
4.94	-0.11	1698.52	
4.95	-0.11	1706.61	
4.96	-0.11	1714.69	
4.97	-0.11	1722.78	
4.98	-0.11	1730.86	
4.99	-0.11	1738.94	
5.00	-0.11	1747.02	
5.01	-0.11	1755.10	
5.02	-0.11	1763.18	
5.03	-0.12	1771.26	
5.04	-0.12	1779.33	
5.05	-0.12	1787.41	
5.06	-0.12	1795.49	
5.07	-0.12	1803.56	
5.08	-0.12	1811.63	
5.09	-0.12	1819.71	
5.10	-0.12	1827.78	
5.11	-0.12	1835.85	
5.12	-0.12	1843.92	
5.13	-0.12	1851.99	
5.14	-0.12	1860.05	
5.15	-0.12	1868.12	
5.16	-0.12	1876.19	
5.17	-0.12	1884.25	
5.18	-0.12	1892.32	
5.19	-0.12	1900.38	
5.20	-0.12	1908.44	
5.21	-0.12	1916.50	
5.22	-0.12	1924.56	
5.23	-0.12	1932.62	
5.24	-0.12	1940.68	
5.25	-0.12	1948.74	
5.26	-0.12	1956.80	
5.27	-0.12	1964.85	
5.28	-0.12	1972.91	
5.29	-0.12	1980.96	
5.30	-0.12	1989.02	
5.31	-0.12	1997.07	
5.32	-0.12	2005.12	
5.33	-0.12	2013.18	
5.34	-0.12	2021.23	
5.35	-0.12	2029.28	
5.36	-0.12	2037.32	
5.37	-0.12	2045.37	
5.38	-0.12	2053.42	
5.39	-0.12	2061.47	
5.40	-0.12	2069.51	
5.41	-0.12	2077.56	
5.42	-0.12	2085.60	
5.43	-0.12	2093.64	
5.44	-0.12	2101.69	
5.45	-0.12	2109.73	
5.46	-0.12	2117.77	
5.47	-0.12	2125.81	
5.48	-0.12	2133.85	
5.49	-0.12	2141.89	
5.50	-0.12	2149.93	
5.51	-0.12	2157.96	
5.52	-0.12	2166.00	
5.53	-0.12	2174.03	
5.54	-0.12	2182.07	
5.55	-0.12	2190.10	
5.56	-0.12	2198.14	
5.57	-0.12	2206.17	
5.58	-0.12	2214.20	
5.59	-0.12	2222.23	
5.60	-0.12	2230.26	
5.61	-0.12	2238.29	
5.62	-0.12	2246.32	
5.63	-0.12	2254.35	
5.64	-0.12	2262.38	
5.65	-0.12	2270.40	
5.66	-0.12	2278.43	
5.67	-0.12	2286.45	
5.68	-0.12	2294.48	
5.69	-0.12	2302.50	
5.70	-0.12	2310.53	
5.71	-0.12	2318.55	
5.72	-0.12	2326.57	
5.73	-0.12	2334.59	
5.74	-0.12	2342.61	
5.75	-0.12	2350.63	
5.76	-0.12	2358.65	
5.77	-0.12	2366.67	
5.78	-0.12	2374.68	
5.79	-0.12	2382.70	
5.80	-0.12	2390.72	
5.81	-0.12	2398.73	
5.82	-0.12	2406.75	
5.83	-0.12	2414.76	
5.84	-0.12	2422.77	
5.85	-0.12	2430.79	
5.86	-0.12	2438.80	
5.87	-0.12	2446.81	
5.88	-0.12	2454.82	
5.89	-0.12	2462.83	
5.90	-0.12	2470.84	
5.91	-0.12	2478.85	
5.92	-0.12	2486.86	
5.93	-0.12	2494.86	
5.94	-0.12	2502.87	
5.95	-0.13	2510.88	
5.96	-0.13	2518.88	
5.97	-0.13	2526.89	
5.98	-0.13	2534.89	
5.99	-0.13	2542.89	
6.00	-0.13	2550.90	
6.01	-0.13	2558.90	
6.02	-0.13	2566.90	
6.03	-0.13	2574.90	
6.04	-0.13	2582.90	
