gage_height_va	discharge_va
2.32	183
2.45	233
19.89	11800
20.57	13200
16.54	7850
19.51	13600
18.40	11500
7.64	2750
7.95	3000
6.42	2010
4.84	1210
3.59	799
5.53	1820
6.00	2060
2.81	397
2.41	215
6.33	2140
2.73	403
2.31	209
4.43	1230
3.42	748
33.21	55800
6.43	2220
2.42	282
2.94	564
4.15	1380
2.90	602
4.60	1510
2.15	183
3.92	1160
3.59	953
5.27	1870
3.03	652
2.78	541
2.68	454
2.61	426
2.44	310
2.37	280
2.15	179
1.94	100
2.64	430
2.73	480
2.25	199
2.46	322
2.76	508
3.17	746
2.13	182
1.92	99.3
1.76	58.5
1.76	56.7
1.58	22.9
1.89	89.6
2.73	531
2.18	167
3.35	910
2.25	267
2.35	339
2.08	199
2.28	270
6.42	2490
1.83	97.4
18.58	12300
3.56	880
2.21	227
2.42	325
37.12	76000
22.48	20200
4.18	431
4.32	508
4.28	498
18.30	12600
4.31	538
5.80	1790
5.18	1220
9.87	4830
4.35	567
3.50	193
2.93	66.3
2.70	40.3
2.87	56.4
3.15	115
3.10	102
3.45	221
4.49	820
4.38	622
4.16	542
4.01	477
3.00	94.4
3.08	120
2.85	75.2
6.15	2210
3.91	405
4.56	829
4.12	510
4.66	1030
3.82	379
4.41	716
4.18	608
3.25	134
4.96	1140
3.30	144
3.44	188
5.62	1840
5.44	1690
4.23	586
8.80	4410
5.56	1770
4.70	898
3.50	208
3.33	156
3.01	90.4
3.22	151
3.93	404
3.32	161
4.05	472
3.81	401
4.63	955
4.24	626
3.57	251
3.46	188
4.12	526
3.64	292
2.95	84.8
3.24	142
4.44	732
3.64	306
4.44	734
3.78	352
21.30	16300
4.97	1330
4.00	453
3.61	284
15.13	6910
19.62	12000
3.95	449
3.58	266
4.50	824
3.84	390
10.10	5030
10.65	5410
6.25	2380
5.03	1260
26.70	29100
4.75	1000
4.89	1130
4.82	1110
19.16	12300
9.14	4610
5.08	1430
4.66	971
6.54	2600
4.38	743
4.09	508
5.38	1650
3.95	427
21.54	15400
4.06	495
3.85	364
4.06	462
3.83	371
3.89	410
6.21	2230
8.72	4230
4.04	492
3.99	458
3.86	362
3.47	238
3.39	216
3.21	142
3.16	148
4.38	806
3.65	338
6.56	2590
3.92	510
4.81	964
4.30	784
4.70	986
4.16	567
4.50	781
3.91	425
3.57	254
3.15	119
3.17	117
3.81	395
4.02	613
17.07	11600
13.74	7670
3.81	375
3.83	376
3.74	333
3.66	316
3.36	173
3.37	175
5.30	1930
4.10	631
